raw,expansion,scope,note
BRG,BEARING,BEARING,
BRGS,BEARING,BEARING,
RAD,RADIAL,BEARING,
SPHR,SPHERICAL,BEARING,
TPR,TAPER,BEARING,
VLV,VALVE,VALVE,
GT VLV,GATE VALVE,VALVE,
BL VLV,BALL VALVE,VALVE,
SS,STAINLESS STEEL,,
MS,MILD STEEL,,
M.S.,MILD STEEL,,
CS,CARBON STEEL,PIPE_FITTING,ambiguous: cast steel in valves
GSKT,GASKET,PIPE_FITTING,
FLG,FLANGE,PIPE_FITTING,
NB,NOMINAL BORE,,
OD,OUTER DIAMETER,,
ID,INNER DIAMETER,,
THK,THICKNESS,,
DIA,DIAMETER,,
NOM,NOMINAL,,
SEC,SECTION,BELT,
L,LENGTH,BELT,
HT,HIGH TENSILE,FASTENER,
GALV,GALVANIZED,,
UNGALV,UNGALVANIZED,,
HEX,HEXAGONAL,FASTENER,
LUB,LUBRICATING,LUBRICANT,
HYD,HYDRAULIC,,
PH,PHASE,ELECTRICAL,
HP,HORSEPOWER,PUMP,
KW,KILOWATT,,
AMP,AMPERE,ELECTRICAL,
DEF,DIESEL EXHAUST FLUID,CHEMICAL,
EHV,EXTRA HIGH VOLTAGE,LUBRICANT,
M.S,MILD STEEL,,
HEMM,HEAVY EARTH MOVING MACHINERY,,
BELT V,V BELT,BELT,word order variant
