query_material,candidate_material,label,relation
V BELT C 120,V-BELT C-120,1,SAME_ARTICLE
V BELT C 120,BELT V C120,1,SAME_ARTICLE
V BELT C 120,"V-BELT SECTION C, NOMINAL LENGTH 120 INCH | NOS | C-120 | FENNER | IS 2494",1,SAME_ARTICLE
V BELT C 120,BELT V C-120 | NOS | C120 | PIX | C SECTION V BELT,1,SAME_ARTICLE
V-BELT C-120,V BELT C-120 FENNER PIX ONLY FOR CRUSHER DRIVE,1,SAME_ARTICLE
BELT V C-120,V-BELT SECTION C NOMINAL LENGTH 120 INCH,1,SAME_ARTICLE
V BELT SECTION C 120 INCH,V-BELT C-120 | NOS | C-120 | FENNER,1,SAME_ARTICLE
INDUSTRIAL V BELT C SECTION APPROXIMATELY 1200 MM,V BELT C-120 FENNER PIX ONLY FOR CRUSHER DRIVE,1,NEAR_DUPLICATE
V BELT C SECTION 1200MM USED IN CONVEYOR DRIVE,BELT V C-120 | NOS | C120 | PIX | C SECTION V BELT,1,NEAR_DUPLICATE
V BELT C 120 LENGTH 1200 MM,V-BELT SECTION C NOMINAL LENGTH 120 INCH,1,NEAR_DUPLICATE
V BELT,V-BELT C-120,1,NEAR_DUPLICATE
V BELT,BELT V C-120 | NOS | C120 | PIX | C SECTION V BELT,1,NEAR_DUPLICATE
V BELT C 120,V BELT C 125,0,DIFFERENT
V BELT C 120,V-BELT C-128,0,DIFFERENT
V BELT C 120,V BELT B 120,0,DIFFERENT
V BELT C 120,V BELT A 120,0,DIFFERENT
V BELT C 120,HEX BOLT M10 X 50,0,DIFFERENT
V BELT C 120,RUBBER CONVEYOR BELT 800MM WIDE EP 400/3,0,DIFFERENT
V BELT C 120,TIMING BELT 120 XL,0,DIFFERENT
V-BELT SECTION C 120 INCH,V BELT SECTION D 120 INCH,0,DIFFERENT
BALL BEARING 6205,BEARING BALL RADIAL 6205 2RS SKF/FAG MAKE ONLY,1,SAME_ARTICLE
BALL BEARING 6205,"BEARING, BALL, 6205-2RS1 | NOS | 6205-2RS1 | FAG | RADIAL DEEP GROOVE BALL BEARING",1,SAME_ARTICLE
BALL BEARING 6205,BEARING BALL RADIAL 6205 2RS FOR MAIN STORE | NOS | 6205-2RS | SKF | ID 25MM OD 52MM W 15MM,1,SAME_ARTICLE
6205 BEARING,BEARING BALL RADIAL 6205 2RS FOR MAIN STORE,1,SAME_ARTICLE
BEARING 6205,BALL BEARING 6205,1,SAME_ARTICLE
BRG BALL 6205 2RS,BEARING BALL RADIAL 6205 2RS,1,SAME_ARTICLE
DEEP GROOVE BALL BEARING 6205 2RS,"BEARING, BALL, 6205-2RS1",1,SAME_ARTICLE
SKF 6205-2RS,BEARING BALL RADIAL 6205 2RS FOR MAIN STORE | NOS | 6205-2RS | SKF,1,SAME_ARTICLE
BALL BEARING 25MM BORE 52MM OD,BEARING BALL RADIAL 6205 2RS | NOS | 6205-2RS | SKF | ID 25MM OD 52MM W 15MM,1,NEAR_DUPLICATE
BALL BEARING 6205,BALL BEARING 6206,0,DIFFERENT
BALL BEARING 6205,BALL BEARING 6305,0,DIFFERENT
BALL BEARING 6205,BALL BEARING 6204 2RS,0,DIFFERENT
BEARING 6205,TAPER ROLLER BEARING 32218 J2/Q,0,DIFFERENT
BEARING 6205,ROLLER BEARING SPHERICAL 22316 EK C3,0,DIFFERENT
BALL BEARING 6205,V BELT C 120,0,DIFFERENT
BALL BEARING 6205,BALL VALVE 1 INCH SS316,0,DIFFERENT
TAPER ROLLER BEARING 32218,TAPER ROLLER BEARING 32218 J2/Q,1,SAME_ARTICLE
TPR RLR BRG 32218,TAPER ROLLER BEARING 32218 J2/Q,1,SAME_ARTICLE
TAPER ROLLER BEARING 32218,TAPER ROLLER BEARING 32219,0,DIFFERENT
TAPER ROLLER BEARING 32218,TAPER ROLLER BEARING 30218,0,DIFFERENT
SPHERICAL ROLLER BEARING 22316,ROLLER BEARING SPHERICAL 22316 EK C3,1,SAME_ARTICLE
SPHERICAL ROLLER BEARING 22316,ROLLER BEARING SPHERICAL 22317 EK C3,0,DIFFERENT
GATE VALVE 2 INCH 800#,GATE VALVE 2 INCH 800# FORGED STEEL A105,1,SAME_ARTICLE
GT VLV 2 IN 800 CLASS A105,GATE VALVE 2 INCH 800# FORGED STEEL A105,1,SAME_ARTICLE
2 INCH GATE VALVE FORGED A105,GATE VALVE 2 INCH 800# FORGED STEEL A105,1,SAME_ARTICLE
GATE VALVE 2 INCH 800#,GATE VALVE 3 INCH 800# FORGED STEEL A105,0,DIFFERENT
GATE VALVE 2 INCH 800#,GATE VALVE 2 INCH 150# CAST STEEL,0,DIFFERENT
