Company,Item Description (Raw),Item Code / Legacy Ref,Quantity,UOM,Part Number / OEM Number,Make / Brand,Specifications / Dimensions
Coal India (Central Coalfields Limited),brg ball rad 6205 2rs for main store,116045321,50,NOS,6205-2RS,SKF,ID 25mm OD 52mm W 15mm
Coal India (Central Coalfields Limited),"BEARING, BALL, 6205-2RS1",116045321,20,NOS,6205-2RS1,FAG,Radial deep groove ball bearing
NTPC,"V-BELT SEC C, NOM L 120 INCH",M-55321,10,NOS,C-120,FENNER,IS 2494
BHEL,BELT V C-120,224411,5,NOS,C120,PIX,C section V belt
BHEL,SAFETY SHOE MENS BLACK SIZE 9 LEATHER CE APPROVED,MAT4285270,1884,KGS,N/A,BOSCH,Standard specification as per IS/ISO. Dimension: 111mm. Material: MS.
IOCL,SEAL  KIT  FOR  HYDRAULIC  CYLINDER  BEML  DOZER - URGENT REQ,MAT5926185,3698,SET,PN-5234-X,PIX,Standard specification as per IS/ISO. Dimension: 214mm. Material: MS.
NTPC,SEAL KIT FOR HYDRAULIC CYLINDER BEML DOZER,MAT2121091,3106,PAIR,PN-3019-X,L&T,Standard specification as per IS/ISO. Dimension: 294mm. Material: SS316.
GAIL,filter lube oil for cummins engine kta19,MAT7109355,2750,SET,PN-9263-A,FAG,Standard specification as per IS/ISO. Dimension: 151mm. Material: Rubber.
BHEL,HYDRAULIC  HOSE  1  INCH  R2  10  METERS  WITH  FITTINGS - URGENT REQ,MAT7926758,489,KGS,N/A,TVS,Standard specification as per IS/ISO. Dimension: 41mm. Material: Rubber.
ONGC,roller bearing spherical 22316 ek c3,MAT2887831,4671,MT,N/A,ANY REPUTED MAKE,Standard specification as per IS/ISO. Dimension: 249mm. Material: Alloy Steel.
NTPC,led flood light 200w ip66 6500k cg/philips,MAT3281108,1635,MTR,N/A,BOSCH,Standard specification as per IS/ISO. Dimension: 250mm. Material: Rubber.
NTPC,gate valve 2 inch 800# forged steel a105,MAT7712130,3547,MT,N/A,KOMATSU,Standard specification as per IS/ISO. Dimension: 26mm. Material: MS.
NTPC,taper roller bearing 32218 j2/q,MAT6128327,3298,NOS,PN-2477-B,ANY REPUTED MAKE,Standard specification as per IS/ISO. Dimension: 278mm. Material: MS.
IOCL,diesel  exhaust  fluid  def  aus  32   REQ AS PER ATTACHED SPEC,MAT2632814,3438,KGS,N/A,PIX,Standard specification as per IS/ISO. Dimension: 272mm. Material: Rubber.
BHEL,contactor  3  pole  400v  63a  l&t/siemens **OEM ONLY**,MAT1756205,2263,BTL,PN-7384-Y,ANY REPUTED MAKE,Standard specification as per IS/ISO. Dimension: 221mm. Material: SS316.
IOCL,hydraulic  hose  1  inch  r2  10  meters  with  fittings (BOQ1 REF),MAT8491100,2981,BTL,PN-7319-B,L&T,Standard specification as per IS/ISO. Dimension: 228mm. Material: SS304.
IOCL,high  tensile  bolt  m24  x  100mm  grade  8.8  galvanized   REQ AS PER ATTACHED SPEC,MAT1979638,3971,ROLL,PN-5927-Y,PIX,Standard specification as per IS/ISO. Dimension: 240mm. Material: Brass.
Coal India (Central Coalfields Limited),welding electrode e7018 3.15mm x 450mm,MAT9937527,2955,SET,PN-6583-A,TVS,Standard specification as per IS/ISO. Dimension: 118mm. Material: MS.
HEC,hydraulic hose 1 inch r2 10 meters with fittings,MAT1390312,4038,SET,N/A,ABB,Standard specification as per IS/ISO. Dimension: 79mm. Material: SS304.
Coal India (Central Coalfields Limited),FLANGE GASKET 150# 100MM NB SPIRAL WOUND NON ASBESTOS,MAT4044672,2074,NOS,PN-9599-Z,SIEMENS,Standard specification as per IS/ISO. Dimension: 278mm. Material: SS316.
BHEL,ball  valve  1  inch  ss316  1000  wog  ptfe  seat (BOQ1 REF),MAT2462591,798,PAIR,PN-7555-X,ANY REPUTED MAKE,Standard specification as per IS/ISO. Dimension: 212mm. Material: Alloy Steel.
NTPC,SAFETY SHOE MENS BLACK SIZE 9 LEATHER CE APPROVED,MAT1368050,3855,MTR,PN-2971-A,PHILIPS,Standard specification as per IS/ISO. Dimension: 46mm. Material: Rubber.
Coal India (BCCL),v  belt  c-120  fenner  pix  only  for  crusher  drive - URGENT REQ,MAT1810535,4907,LTR,N/A,PIX,Standard specification as per IS/ISO. Dimension: 55mm. Material: SS316.
Coal India (BCCL),v  belt  c-120  fenner  pix  only  for  crusher  drive - URGENT REQ,MAT6833850,1482,SET,PN-7719-B,ANY REPUTED MAKE,Standard specification as per IS/ISO. Dimension: 113mm. Material: SS316.
Coal India (BCCL),welding electrode e7018 3.15mm x 450mm,MAT8449390,1114,MTR,N/A,UNBRAKO,Standard specification as per IS/ISO. Dimension: 232mm. Material: SS316.
IOCL,flange  gasket  150#  100mm  nb  spiral  wound  non  asbestos (BOQ1 REF),MAT9020935,593,ROLL,PN-8705-Z,SKF,Standard specification as per IS/ISO. Dimension: 165mm. Material: SS316.
HEC,safety shoe mens black size 9 leather ce approved,MAT6009722,2770,MT,PN-7175-X,KOMATSU,Standard specification as per IS/ISO. Dimension: 48mm. Material: MS.
GAIL,air filter element outer & inner for beml dumper,MAT4413054,2254,NOS,N/A,ANY REPUTED MAKE,Standard specification as per IS/ISO. Dimension: 11mm. Material: SS304.
IOCL,SEAL KIT FOR HYDRAULIC CYLINDER BEML DOZER,MAT4456232,260,MT,PN-7261-A,FAG,Standard specification as per IS/ISO. Dimension: 113mm. Material: Alloy Steel.
GAIL,TAPER ROLLER BEARING 32218 J2/Q,MAT7121888,2800,KGS,PN-5781-A,PIX,Standard specification as per IS/ISO. Dimension: 87mm. Material: Alloy Steel.
BHEL,WIRE  ROPE  16MM  DIA  6X36  FMC  RHRL  UNGALVANIZED - URGENT REQ,MAT5440034,840,SET,PN-4310-Y,BEML,Standard specification as per IS/ISO. Dimension: 252mm. Material: SS304.
NTPC,lubricating oil servo system 68 in 210 ltr drum,MAT7034903,2116,MTR,N/A,ESCO,Standard specification as per IS/ISO. Dimension: 118mm. Material: Brass.
Coal India (Central Coalfields Limited),rubber  conveyor  belt  800mm  wide  ep  400/3   REQ AS PER ATTACHED SPEC,MAT2350957,2394,PAIR,PN-3898-X,ANY REPUTED MAKE,Standard specification as per IS/ISO. Dimension: 82mm. Material: Alloy Steel.
Coal India (Central Coalfields Limited),hydraulic  hose  1  inch  r2  10  meters  with  fittings **OEM ONLY**,MAT2404818,2316,LTR,PN-6314-A,OEM,Standard specification as per IS/ISO. Dimension: 46mm. Material: SS304.
IOCL,AIR FILTER ELEMENT OUTER & INNER FOR BEML DUMPER,MAT1359850,1510,SET,PN-4160-X,CUMMINS,Standard specification as per IS/ISO. Dimension: 162mm. Material: Brass.
Coal India (Central Coalfields Limited),high  tensile  bolt  m24  x  100mm  grade  8.8  galvanized **OEM ONLY**,MAT5621876,1829,NOS,N/A,FENNER,Standard specification as per IS/ISO. Dimension: 64mm. Material: Alloy Steel.
NTPC,transformer oil ehv grade in 209 ltr barrel,MAT1101939,1556,PAIR,PN-7514-X,ESCO,Standard specification as per IS/ISO. Dimension: 68mm. Material: SS316.
GAIL,high  tensile  bolt  m24  x  100mm  grade  8.8  galvanized   REQ AS PER ATTACHED SPEC,MAT5354668,2029,PAIR,PN-4042-X,ANY REPUTED MAKE,Standard specification as per IS/ISO. Dimension: 57mm. Material: MS.
GAIL,ss  tube  1/2  inch  od  x  1.2mm  thk  astm  a213 **OEM ONLY**,MAT7641821,4729,KGS,PN-7267-X,UNBRAKO,Standard specification as per IS/ISO. Dimension: 62mm. Material: SS316.
GAIL,hydraulic hose 1 inch r2 10 meters with fittings,MAT8550749,2744,PAIR,PN-7186-Y,SIEMENS,Standard specification as per IS/ISO. Dimension: 290mm. Material: MS.
Coal India (BCCL),LED  FLOOD  LIGHT  200W  IP66  6500K  CG/PHILIPS   REQ AS PER ATTACHED SPEC,MAT1620800,2262,LTR,PN-2215-Z,ESCO,Standard specification as per IS/ISO. Dimension: 64mm. Material: SS304.
